#x u rho mdot phi T Ts N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0.0504582 1.50884 0.241024 0.3 1.31442 1267.59 1431.12 0.635134 0.00192266 9.28515e-07 0.180297 5.20448e-06 0.0198224 1.70432e-06 2.45251e-06 1.30774e-05 0.000327856 0.000451946 3.25547e-05 2.20083e-05 4.34674e-08 1.13293e-06 1.84327e-10 0.000188197 5.30527e-06 7.13099e-07 1.36065e-06 0.161191 9.31038e-05 4.04741e-08 8.51239e-10 5.46351e-06 3.864e-09 0.000433896 4.23614e-05 3.57917e-06 
0.0504826 1.53406 0.23706 0.3 1.31266 1286.79 1443.88 0.635989 0.00202363 1.12546e-06 0.178442 6.19558e-06 0.0224965 2.1965e-06 2.53245e-06 1.41424e-05 0.000378503 0.000539591 3.38109e-05 2.57348e-05 4.42533e-08 1.19393e-06 1.85448e-10 0.000214355 6.18546e-06 7.94798e-07 1.51114e-06 0.159178 9.38592e-05 5.72756e-08 8.40112e-10 6.72762e-06 5.23619e-09 0.000494786 4.41789e-05 3.81203e-06 
0.050507 1.56119 0.232941 0.3 1.31077 1307.39 1456.93 0.637006 0.0021292 1.36422e-06 0.176309 7.37421e-06 0.0254896 2.83856e-06 2.59135e-06 1.52917e-05 0.000436378 0.000642056 3.4742e-05 2.9991e-05 4.41366e-08 1.24066e-06 1.82968e-10 0.000243269 7.13909e-06 8.82273e-07 1.67719e-06 0.156924 9.32997e-05 8.10732e-08 8.11364e-10 8.29205e-06 7.07848e-09 0.000563615 4.5825e-05 4.02628e-06 
0.0505314 1.59039 0.228664 0.3 1.30875 1329.5 1470.28 0.638207 0.00223943 1.6531e-06 0.173868 8.7714e-06 0.0288271 3.67735e-06 2.62529e-06 1.6526e-05 0.000502311 0.00076093 3.52964e-05 3.48188e-05 4.30516e-08 1.26955e-06 1.76831e-10 0.000274997 8.14927e-06 9.75056e-07 1.86042e-06 0.15441 9.13311e-05 1.14729e-07 7.65313e-10 1.02266e-05 9.53923e-09 0.000641052 4.72753e-05 4.21536e-06 
0.0505559 1.62183 0.224232 0.3 1.30665 1353.24 1483.94 0.639618 0.00235434 2.0017e-06 0.171087 1.04207e-05 0.0325335 4.77411e-06 2.63076e-06 1.78434e-05 0.000577166 0.000897663 3.54339e-05 4.0252e-05 4.1004e-08 1.27757e-06 1.67256e-10 0.000309526 9.19211e-06 1.07242e-06 2.06242e-06 0.151614 8.79224e-05 1.62222e-07 7.03655e-10 1.26151e-05 1.2806e-08 0.000727689 4.85106e-05 4.3732e-06 
0.0505803 1.65566 0.219649 0.3 1.30449 1378.73 1497.93 0.641266 0.00247393 2.42106e-06 0.167934 1.2357e-05 0.0366316 6.20859e-06 2.6051e-06 1.9238e-05 0.000661808 0.00105343 3.51302e-05 4.63108e-05 3.80811e-08 1.26269e-06 1.54731e-10 0.000346752 1.02371e-05 1.1733e-06 2.28469e-06 0.148516 8.31208e-05 2.29047e-07 6.29467e-10 1.55573e-05 1.71121e-08 0.000823983 4.95172e-05 4.49487e-06 
0.0506047 1.69204 0.214927 0.3 1.3023 1406.07 1512.27 0.643175 0.00259811 2.9237e-06 0.164379 1.46155e-05 0.0411411 8.08402e-06 2.54684e-06 2.06987e-05 0.00075707 0.00122899 3.438e-05 5.29956e-05 3.44498e-08 1.22425e-06 1.39962e-10 0.00038645 1.12483e-05 1.27629e-06 2.5284e-06 0.145099 7.70592e-05 3.22738e-07 5.46986e-10 1.91697e-05 2.27409e-08 0.000930195 5.02864e-05 4.57734e-06 
0.0506291 1.7311 0.210078 0.3 1.30013 1435.34 1526.96 0.645375 0.00272676 3.52368e-06 0.160394 1.72292e-05 0.0460779 1.0533e-05 2.45616e-06 2.22077e-05 0.000863693 0.00142447 3.31992e-05 6.02802e-05 3.03411e-08 1.16334e-06 1.23798e-10 0.000428247 1.21867e-05 1.37954e-06 2.79416e-06 0.141347 6.99573e-05 4.53537e-07 4.6115e-10 2.35865e-05 3.00285e-08 0.00104631 5.08134e-05 4.62031e-06 
0.0506535 1.77292 0.205123 0.3 1.29802 1466.6 1542.01 0.64789 0.00285964 4.23658e-06 0.155955 2.02259e-05 0.0514528 1.37245e-05 2.33513e-06 2.37395e-05 0.000982265 0.00163917 3.16248e-05 6.81044e-05 2.60213e-08 1.08283e-06 1.07126e-10 0.000471584 1.30135e-05 1.4808e-06 3.08167e-06 0.137247 6.21103e-05 6.35241e-07 3.76951e-10 2.89585e-05 3.93601e-08 0.00117198 5.10958e-05 4.62684e-06 
0.0506779 1.81758 0.200083 0.3 1.29601 1499.88 1557.44 0.650745 0.00299645 5.07943e-06 0.151045 2.36253e-05 0.05727 1.78712e-05 2.1878e-06 2.52595e-05 0.00111314 0.00187138 2.97125e-05 7.63671e-05 2.17552e-08 9.87222e-07 9.07652e-11 0.000515695 1.36927e-05 1.57734e-06 3.38932e-06 0.132792 5.38665e-05 8.86221e-07 2.98756e-10 3.54498e-05 5.11591e-08 0.00130639 5.1131e-05 4.60353e-06 
